Pin	Pin Name	Memory Byte Group	Bank	I/O Type	RAM Connection	Configuration	JTAG
N9	DXN_0	NA	0	CONFIG			
K10	VCCADC_0	NA	0	CONFIG			
K9	GNDADC_0	NA	0	CONFIG			
N10	DXP_0	NA	0	CONFIG			
L9	VREFN_0	NA	0	CONFIG			
M10	VREFP_0	NA	0	CONFIG			
L10	VP_0	NA	0	CONFIG			
M9	VN_0	NA	0	CONFIG			
E12	VCCBATT_0	NA	0	CONFIG			
L12	CCLK_0	NA	0	CONFIG		CCLK	
V12	TCK_0	NA	0	CONFIG			TCK
T13	TMS_0	NA	0	CONFIG			TMS
U13	TDO_0	NA	0	CONFIG			TDO
R13	TDI_0	NA	0	CONFIG			TDI
U12	INIT_B_0	NA	0	CONFIG		INIT	
N12	PROGRAM_B_0	NA	0	CONFIG		PROGRAM	
U8	CFGBVS_0	NA	0	CONFIG		CFGBVS	
G11	DONE_0	NA	0	CONFIG		DONE	
U9	M2_0	NA	0	CONFIG		M2	
U11	M0_0	NA	0	CONFIG		M0	
U10	M1_0	NA	0	CONFIG		M1	
Y17	IO_0_13	NA	13	HR			
Y16	IO_L1P_T0_13	0	13	HR			
AA16	IO_L1N_T0_13	0	13	HR			
AB16	IO_L2P_T0_13	0	13	HR			
AB17	IO_L2N_T0_13	0	13	HR			
AA13	IO_L3P_T0_DQS_13	0	13	HR			
AB13	IO_L3N_T0_DQS_13	0	13	HR			
AA15	IO_L4P_T0_13	0	13	HR			
AB15	IO_L4N_T0_13	0	13	HR			
Y13	IO_L5P_T0_13	0	13	HR			
AA14	IO_L5N_T0_13	0	13	HR			
W14	IO_L6P_T0_13	0	13	HR			
Y14	IO_L6N_T0_VREF_13	0	13	HR			
AB11	IO_L7P_T1_13	1	13	HR			
AB12	IO_L7N_T1_13	1	13	HR			
AA9	IO_L8P_T1_13	1	13	HR			
AB10	IO_L8N_T1_13	1	13	HR			
AA10	IO_L9P_T1_DQS_13	1	13	HR			
AA11	IO_L9N_T1_DQS_13	1	13	HR			
V10	IO_L10P_T1_13	1	13	HR			
W10	IO_L10N_T1_13	1	13	HR			
Y11	IO_L11P_T1_SRCC_13	1	13	HR			
Y12	IO_L11N_T1_SRCC_13	1	13	HR			
W11	IO_L12P_T1_MRCC_13	1	13	HR			
W12	IO_L12N_T1_MRCC_13	1	13	HR			
V13	IO_L13P_T2_MRCC_13	2	13	HR			
V14	IO_L13N_T2_MRCC_13	2	13	HR			
U15	IO_L14P_T2_SRCC_13	2	13	HR			
V15	IO_L14N_T2_SRCC_13	2	13	HR			
T14	IO_L15P_T2_DQS_13	2	13	HR			
T15	IO_L15N_T2_DQS_13	2	13	HR			
W15	IO_L16P_T2_13	2	13	HR			
W16	IO_L16N_T2_13	2	13	HR			
T16	IO_L17P_T2_13	2	13	HR			
U16	IO_L17N_T2_13	2	13	HR			
P20	IO_0_14	NA	14	HR			
P22	IO_L1P_T0_D00_MOSI_14	0	14	HR		MOSI	
R22	IO_L1N_T0_D01_DIN_14	0	14	HR		MISO	
P21	IO_L2P_T0_D02_14	0	14	HR			
R21	IO_L2N_T0_D03_14	0	14	HR			
U22	IO_L3P_T0_DQS_PUDC_B_14	0	14	HR		PUDC	
V22	IO_L3N_T0_DQS_EMCCLK_14	0	14	HR			
T21	IO_L4P_T0_D04_14	0	14	HR			
U21	IO_L4N_T0_D05_14	0	14	HR			
P19	IO_L5P_T0_D06_14	0	14	HR			
R19	IO_L5N_T0_D07_14	0	14	HR			
T19	IO_L6P_T0_FCS_B_14	0	14	HR		FCS	
T20	IO_L6N_T0_D08_VREF_14	0	14	HR			
