Freq.	V(n010)
1.00000000000000e-002	(1.06023231208844e+002dB,-1.14568664188600e-001°)
1.11588399250775e-002	(1.06023226951063e+002dB,-1.27845296631673e-001°)
1.24519708473503e-002	(1.06023221649471e+002dB,-1.42660461976503e-001°)
1.38949549437314e-002	(1.06023215047729e+002dB,-1.59192445220223e-001°)
1.55051577983262e-002	(1.06023206827274e+002dB,-1.77640189268605e-001°)
1.73019573884589e-002	(1.06023196591028e+002dB,-1.98225687895502e-001°)
1.93069772888325e-002	(1.06023183845143e+002dB,-2.21196655633504e-001°)
2.15443469003188e-002	(1.06023167974237e+002dB,-2.46829506541872e-001°)
2.40409918350997e-002	(1.06023148211687e+002dB,-2.75432677443044e-001°)
2.68269579527972e-002	(1.06023123603543e+002dB,-3.07350335264568e-001°)
2.99357729472049e-002	(1.06023092961570e+002dB,-3.42966512606980e-001°)
3.34048498351324e-002	(1.06023054806979e+002dB,-3.82709720618694e-001°)
3.72759372031494e-002	(1.06023007297060e+002dB,-4.27058093735134e-001°)
4.15956216307184e-002	(1.06022948138977e+002dB,-4.76545126867728e-001°)
4.64158883361277e-002	(1.06022874476406e+002dB,-5.31766072241059e-001°)
5.17947467923121e-002	(1.06022782753735e+002dB,-5.93385070296670e-001°)
5.77969288415331e-002	(1.06022668543640e+002dB,-6.62143096918414e-001°)
6.44946677103762e-002	(1.06022526333761e+002dB,-7.38866817672811e-001°)
7.19685673001151e-002	(1.06022349260763e+002dB,-8.24478448749483e-001°)
8.03085722139150e-002	(1.06022128780478e+002dB,-9.20006733731088e-001°)
8.96150501946603e-002	(1.06021854254491e+002dB,-1.02659915504360e+000°)
9.99999999999999e-002	(1.06021512439789e+002dB,-1.14553550865254e+000°)
1.11588399250775e-001	(1.06021086850721e+002dB,-1.27824297984126e+000°)
1.24519708473503e-001	(1.06020556966746e+002dB,-1.42631286607818e+000°)
1.38949549437314e-001	(1.06019897247125e+002dB,-1.59151909909001e+000°)
1.55051577983262e-001	(1.06019075906059e+002dB,-1.77583872092012e+000°)
1.73019573884589e-001	(1.06018053392047e+002dB,-1.98147446598630e+000°)
1.93069772888325e-001	(1.06016780496788e+002dB,-2.21087959016547e+000°)
2.15443469003188e-001	(1.06015196012656e+002dB,-2.46678506481095e+000°)
2.40409918350997e-001	(1.06013223825371e+002dB,-2.75222921291496e+000°)
2.68269579527972e-001	(1.06010769314766e+002dB,-3.07058979887545e+000°)
2.99357729472048e-001	(1.06007714903177e+002dB,-3.42561848227682e+000°)
3.34048498351324e-001	(1.06003914559164e+002dB,-3.82147739589565e+000°)
3.72759372031493e-001	(1.05999187025771e+002dB,-4.26277739025405e+000°)
4.15956216307184e-001	(1.05993307499314e+002dB,-4.75461717698927e+000°)
4.64158883361277e-001	(1.05985997439450e+002dB,-5.30262216935548e+000°)
5.17947467923120e-001	(1.05976912140457e+002dB,-5.91298122014742e+000°)
5.77969288415330e-001	(1.05965625655790e+002dB,-6.59247864605887e+000°)
6.44946677103761e-001	(1.05951612635896e+002dB,-7.34851784569727e+000°)
7.19685673001150e-001	(1.05934226630680e+002dB,-8.18913140474377e+000°)
8.03085722139149e-001	(1.05912674469643e+002dB,-9.12297077987079e+000°)
8.96150501946602e-001	(1.05885986430372e+002dB,-1.01592664306420e+001°)
9.99999999999997e-001	(1.05852982186110e+002dB,-1.13077466503033e+001°)
1.11588399250774e+000	(1.05812232932282e+002dB,-1.25785004676838e+001°)
1.24519708473503e+000	(1.05762020777014e+002dB,-1.39817671808170e+001°)
1.38949549437313e+000	(1.05700297504295e+002dB,-1.55276329666517e+001°)
1.55051577983262e+000	(1.05624646189316e+002dB,-1.72256146439372e+001°)
1.73019573884589e+000	(1.05532250959970e+002dB,-1.90841136257131e+001°)
1.93069772888324e+000	(1.05419882217500e+002dB,-2.11097314695839e+001°)
2.15443469003188e+000	(1.05283906682487e+002dB,-2.33064545299692e+001°)
2.40409918350996e+000	(1.05120332981686e+002dB,-2.56747408311307e+001°)
2.68269579527971e+000	(1.04924903339625e+002dB,-2.82105773382917e+001°)
2.99357729472048e+000	(1.04693239105473e+002dB,-3.09046165185281e+001°)
3.34048498351323e+000	(1.04421041438643e+002dB,-3.37415382908405e+001°)
3.72759372031492e+000	(1.04104338341351e+002dB,-3.66998025592983e+001°)
4.15956216307183e+000	(1.03739756634186e+002dB,-3.97519417186984e+001°)
4.64158883361276e+000	(1.03324785720674e+002dB,-4.28654801928697e+001°)
5.17947467923119e+000	(1.02857993343247e+002dB,-4.60044620319349e+001°)
5.77969288415329e+000	(1.02339156074627e+002dB,-4.91314407647910e+001°)
6.44946677103759e+000	(1.01769280158936e+002dB,-5.22096767932346e+001°)
7.19685673001149e+000	(1.01150508682604e+002dB,-5.52052356597166e+001°)
8.03085722139148e+000	(1.00485932715121e+002dB,-5.80887055591854e+001°)
8.96150501946601e+000	(9.97793401695816e+001dB,-6.08363447376570e+001°)
9.99999999999995e+000	(9.90349424570553e+001dB,-6.34305946925138e+001°)
1.11588399250774e+001	(9.82571153282511e+001dB,-6.58600123017762e+001°)
1.24519708473503e+001	(9.74501798364566e+001dB,-6.81187534210797e+001°)
1.38949549437313e+001	(9.66182366290696e+001dB,-7.02057722810716e+001°)
1.55051577983262e+001	(9.57650554942745e+001dB,-7.21238926416170e+001°)
1.73019573884589e+001	(9.48940142954513e+001dB,-7.38788740698680e+001°)
1.93069772888324e+001	(9.40080773866600e+001dB,-7.54785558932708e+001°)
2.15443469003187e+001	(9.31098026174318e+001dB,-7.69321235914887e+001°)
2.40409918350996e+001	(9.22013669551278e+001dB,-7.82495132125639e+001°)
2.68269579527971e+001	(9.12846026447023e+001dB,-7.94409500166154e+001°)
2.99357729472047e+001	(9.03610379074578e+001dB,-8.05166066559335e+001°)
3.34048498351323e+001	(8.94319380812959e+001dB,-8.14863615523906e+001°)
3.72759372031492e+001	(8.84983446509276e+001dB,-8.23596375120848e+001°)
4.15956216307182e+001	(8.75611107552904e+001dB,-8.31453022504119e+001°)
4.64158883361275e+001	(8.66209325531141e+001dB,-8.38516151537419e+001°)
