Freq.	V(n004)
1.00000000000000e-002	(2.31257377469019e-004dB,-5.12282169949940e-007°)
1.11588399250775e-002	(2.31257377469019e-004dB,-5.71647473101596e-007°)
1.24519708473503e-002	(2.31257377470947e-004dB,-6.37892264554999e-007°)
1.38949549437314e-002	(2.31257377470947e-004dB,-7.11813766950182e-007°)
1.55051577983262e-002	(2.31257377469019e-004dB,-7.94301588315605e-007°)
1.73019573884589e-002	(2.31257377469019e-004dB,-8.86348427564025e-007°)
1.93069772888325e-002	(2.31257377467090e-004dB,-9.89062022164955e-007°)
2.15443469003188e-002	(2.31257377470947e-004dB,-1.10367847799992e-006°)
2.40409918350997e-002	(2.31257377470947e-004dB,-1.23157714651830e-006°)
2.68269579527972e-002	(2.31257377469019e-004dB,-1.37429722339331e-006°)
2.99357729472049e-002	(2.31257377467090e-004dB,-1.53355627255242e-006°)
3.34048498351324e-002	(2.31257377470947e-004dB,-1.71127089607563e-006°)
3.72759372031494e-002	(2.31257377469019e-004dB,-1.90957979975073e-006°)
4.15956216307184e-002	(2.31257377470947e-004dB,-2.13086953089140e-006°)
4.64158883361277e-002	(2.31257377469019e-004dB,-2.37780319963050e-006°)
5.17947467923121e-002	(2.31257377467090e-004dB,-2.65335252819550e-006°)
5.77969288415331e-002	(2.31257377467090e-004dB,-2.96083361218624e-006°)
6.44946677103762e-002	(2.31257377465162e-004dB,-3.30394683256027e-006°)
7.19685673001151e-002	(2.31257377467090e-004dB,-3.68682138252506e-006°)
8.03085722139150e-002	(2.31257377467090e-004dB,-4.11406496409589e-006°)
8.96150501946603e-002	(2.31257377469019e-004dB,-4.59081923733430e-006°)
9.99999999999999e-002	(2.31257377463233e-004dB,-5.12282169983700e-006°)
1.11588399250775e-001	(2.31257377467090e-004dB,-5.71647473062963e-006°)
1.24519708473503e-001	(2.31257377467090e-004dB,-6.37892264585062e-006°)
1.38949549437314e-001	(2.31257377469019e-004dB,-7.11813766939490e-006°)
1.55051577983262e-001	(2.31257377465162e-004dB,-7.94301588316260e-006°)
1.73019573884589e-001	(2.31257377467090e-004dB,-8.86348427505017e-006°)
1.93069772888325e-001	(2.31257377463233e-004dB,-9.89062022120715e-006°)
2.15443469003188e-001	(2.31257377459376e-004dB,-1.10367847798926e-005°)
2.40409918350997e-001	(2.31257377459376e-004dB,-1.23157714650752e-005°)
2.68269579527972e-001	(2.31257377453590e-004dB,-1.37429722331387e-005°)
2.99357729472048e-001	(2.31257377449733e-004dB,-1.53355627252653e-005°)
3.34048498351324e-001	(2.31257377445876e-004dB,-1.71127089619771e-005°)
3.72759372031493e-001	(2.31257377440090e-004dB,-1.90957979992649e-005°)
4.15956216307184e-001	(2.31257377432375e-004dB,-2.13086953104771e-005°)
4.64158883361277e-001	(2.31257377428518e-004dB,-2.37780319978815e-005°)
5.17947467923120e-001	(2.31257377416946e-004dB,-2.65335252795454e-005°)
5.77969288415330e-001	(2.31257377405375e-004dB,-2.96083361232544e-005°)
6.44946677103761e-001	(2.31257377391875e-004dB,-3.30394683232784e-005°)
7.19685673001150e-001	(2.31257377366803e-004dB,-3.68682138265869e-005°)
