Freq.	V(n002)
1.00000000000000e-002	(1.99998316992220e+001dB,-5.78891235847739e-006°)
1.11588399250775e-002	(1.99998316992220e+001dB,-6.45975463484648e-006°)
1.24519708473503e-002	(1.99998316992220e+001dB,-7.20833679256234e-006°)
1.38949549437314e-002	(1.99998316992219e+001dB,-8.04366763940160e-006°)
1.55051577983262e-002	(1.99998316992219e+001dB,-8.97579995989505e-006°)
1.73019573884589e-002	(1.99998316992219e+001dB,-1.00159514951463e-005°)
1.93069772888325e-002	(1.99998316992219e+001dB,-1.11766399431985e-005°)
2.15443469003188e-002	(1.99998316992218e+001dB,-1.24718336027039e-005°)
2.40409918350997e-002	(1.99998316992218e+001dB,-1.39171194744221e-005°)
2.68269579527972e-002	(1.99998316992217e+001dB,-1.55298908430824e-005°)
2.99357729472049e-002	(1.99998316992217e+001dB,-1.73295565975439e-005°)
3.34048498351324e-002	(1.99998316992216e+001dB,-1.93377748048767e-005°)
3.72759372031494e-002	(1.99998316992214e+001dB,-2.15787133549413e-005°)
4.15956216307184e-002	(1.99998316992213e+001dB,-2.40793408119847e-005°)
4.64158883361277e-002	(1.99998316992211e+001dB,-2.68697509614026e-005°)
5.17947467923121e-002	(1.99998316992209e+001dB,-2.99835249803304e-005°)
5.77969288415331e-002	(1.99998316992206e+001dB,-3.34581355659176e-005°)
6.44946677103762e-002	(1.99998316992203e+001dB,-3.73353978956883e-005°)
7.19685673001151e-002	(1.99998316992199e+001dB,-4.16619728667895e-005°)
8.03085722139150e-002	(1.99998316992194e+001dB,-4.64899286181968e-005°)
8.96150501946603e-002	(1.99998316992187e+001dB,-5.18773671576204e-005°)
9.99999999999999e-002	(1.99998316992179e+001dB,-5.78891235835090e-005°)
1.11588399250775e-001	(1.99998316992169e+001dB,-6.45975463482409e-005°)
1.24519708473503e-001	(1.99998316992156e+001dB,-7.20833679272021e-005°)
1.38949549437314e-001	(1.99998316992141e+001dB,-8.04366763945178e-005°)
1.55051577983262e-001	(1.99998316992122e+001dB,-8.97579995968801e-005°)
1.73019573884589e-001	(1.99998316992097e+001dB,-1.00159514953440e-004°)
1.93069772888325e-001	(1.99998316992067e+001dB,-1.11766399431495e-004°)
2.15443469003188e-001	(1.99998316992030e+001dB,-1.24718336026579e-004°)
2.40409918350997e-001	(1.99998316991983e+001dB,-1.39171194741122e-004°)
2.68269579527972e-001	(1.99998316991925e+001dB,-1.55298908432850e-004°)
2.99357729472048e-001	(1.99998316991853e+001dB,-1.73295565974422e-004°)
3.34048498351324e-001	(1.99998316991762e+001dB,-1.93377748039214e-004°)
3.72759372031493e-001	(1.99998316991650e+001dB,-2.15787133553049e-004°)
4.15956216307184e-001	(1.99998316991510e+001dB,-2.40793408114864e-004°)
4.64158883361277e-001	(1.99998316991336e+001dB,-2.68697509612614e-004°)
5.17947467923120e-001	(1.99998316991120e+001dB,-2.99835249815995e-004°)
5.77969288415330e-001	(1.99998316990850e+001dB,-3.34581355641589e-004°)
6.44946677103761e-001	(1.99998316990514e+001dB,-3.73353978959739e-004°)
7.19685673001150e-001	(1.99998316990095e+001dB,-4.16619728656617e-004°)
8.03085722139149e-001	(1.99998316989574e+001dB,-4.64899286172892e-004°)
8.96150501946602e-001	(1.99998316988925e+001dB,-5.18773671563242e-004°)
9.99999999999997e-001	(1.99998316988118e+001dB,-5.78891235829158e-004°)
1.11588399250774e+000	(1.99998316987112e+001dB,-6.45975463449544e-004°)
1.24519708473503e+000	(1.99998316985859e+001dB,-7.20833679221381e-004°)
1.38949549437313e+000	(1.99998316984299e+001dB,-8.04366763893886e-004°)
1.55051577983262e+000	(1.99998316982357e+001dB,-8.97579995922301e-004°)
1.73019573884589e+000	(1.99998316979939e+001dB,-1.00159514942796e-003°)
1.93069772888324e+000	(1.99998316976927e+001dB,-1.11766399419772e-003°)
2.15443469003188e+000	(1.99998316973178e+001dB,-1.24718336008663e-003°)
2.40409918350996e+000	(1.99998316968509e+001dB,-1.39171194719565e-003°)
2.68269579527971e+000	(1.99998316962695e+001dB,-1.55298908396926e-003°)
2.99357729472048e+000	(1.99998316955455e+001dB,-1.73295565927627e-003°)
3.34048498351323e+000	(1.99998316946440e+001dB,-1.93377747978860e-003°)
3.72759372031492e+000	(1.99998316935215e+001dB,-2.15787133459223e-003°)
4.15956216307183e+000	(1.99998316921237e+001dB,-2.40793407995216e-003°)
4.64158883361276e+000	(1.99998316903833e+001dB,-2.68697509443675e-003°)
5.17947467923119e+000	(1.99998316882160e+001dB,-2.99835249567455e-003°)
5.77969288415329e+000	(1.99998316855174e+001dB,-3.34581355315688e-003°)
6.44946677103759e+000	(1.99998316821571e+001dB,-3.73353978487623e-003°)
7.19685673001149e+000	(1.99998316779728e+001dB,-4.16619728013517e-003°)
8.03085722139148e+000	(1.99998316727626e+001dB,-4.64899285266211e-003°)
8.96150501946601e+000	(1.99998316662748e+001dB,-5.18773670319024e-003°)
9.99999999999995e+000	(1.99998316581962e+001dB,-5.78891234099880e-003°)
1.11588399250774e+001	(1.99998316481368e+001dB,-6.45975461070001e-003°)
1.24519708473503e+001	(1.99998316356108e+001dB,-7.20833675880026e-003°)
1.38949549437313e+001	(1.99998316200135e+001dB,-8.04366759250920e-003°)
1.55051577983262e+001	(1.99998316005918e+001dB,-8.97579989469989e-003°)
1.73019573884589e+001	(1.99998315764080e+001dB,-1.00159514044048e-002°)
1.93069772888324e+001	(1.99998315462944e+001dB,-1.11766398175885e-002°)
2.15443469003187e+001	(1.99998315087970e+001dB,-1.24718334275219e-002°)
2.40409918350996e+001	(1.99998314621053e+001dB,-1.39171192311336e-002°)
2.68269579527971e+001	(1.99998314039650e+001dB,-1.55298905053488e-002°)
2.99357729472047e+001	(1.99998313315688e+001dB,-1.73295561286393e-002°)
3.34048498351323e+001	(1.99998312414213e+001dB,-1.93377741524414e-002°)
3.72759372031492e+001	(1.99998311291699e+001dB,-2.15787124486188e-002°)
4.15956216307182e+001	(1.99998309893948e+001dB,-2.40793395524832e-002°)
4.64158883361275e+001	(1.99998308153472e+001dB,-2.68697492129305e-002°)
5.17947467923118e+001	(1.99998305986237e+001dB,-2.99835225508722e-002°)
5.77969288415328e+001	(1.99998303287603e+001dB,-3.34581321879024e-002°)
6.44946677103759e+001	(1.99998299927271e+001dB,-3.73353932045454e-002°)
7.19685673001148e+001	(1.99998295742997e+001dB,-4.16619663471679e-002°)
8.03085722139147e+001	(1.99998290532751e+001dB,-4.64899195594131e-002°)
8.96150501946599e+001	(1.99998284044968e+001dB,-5.18773545696924e-002°)
9.99999999999994e+001	(1.99998275966402e+001dB,-5.78891060940143e-002°)
1.11588399250774e+002	(1.99998265906997e+001dB,-6.45975220455363e-002°)
